job_id,title,company_name,location,is_remote,posted_date,job_type,experience_level,salary_period,salary_min,salary_max,salary_currency,platform,official_url,skills,emails,us_only,requires_clearance,visa_sponsorship_unavailable
eae9274fba914876,Sr. QA Engineer - QP,Ocient Inc.,"Remote, US",True,2026-01-10,internship,intern,yearly,145000.0,190000.0,USD,Indeed,https://ocient.recruiterbox.com/jobs/fk0z1mn?fjb_hash=ezLpq610,AWS; GCP; Machine Learning; Python; Rest; Scala; SQL,recruiting@ocient.com,True,False,True
4670e6955a145184,AI Engineering Apprentice - United States - 18 Months,LunarTech,"Remote, US",True,2026-01-10,apprenticeship,intern,unknown,,,,Indeed,http://www.indeed.com/job/ai-engineering-apprentice-united-states-18-months-f70ddfc4c008617e,Java; Javascript; Machine Learning; ML; Python; Rest; SQL,,False,False,False
487e751aa0e49648,Software Systems Engineer - Lead,Diné Development Corporation,"Remote, US",True,2026-01-09,fulltime,senior,unknown,,,,Indeed,https://ddc-dine-careers.icims.com/jobs/5883/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,Java; Javascript; Machine Learning; ML; Rest,,False,True,False
af5322b5673da7b4,Principal Solutions Architect,Humana,"Remote, US",True,2026-01-09,fulltime,senior,yearly,172200.0,236900.0,USD,Indeed,https://click.appcast.io/t/GbTMbwYKxWmis1pFjPbVRrZk_4xRcPDYs2bfsahTbhg=,Databricks; Feature Store; Graphql; Kafka; Machine Learning; ML; Mlops; Python; Rest; Scala; Spark,humana@myworkday.com,False,False,False
0e0332176b9cbfd8,"Senior Engineer, AI Developer Tools (Remote)",Tealium,"Remote, US",True,2026-01-09,internship,intern,yearly,150000.0,175000.0,USD,Indeed,https://tealium.wd1.myworkdayjobs.com/en-US/Careers/job/Remote-USA/Senior-Engineer--AI-Developer-Tools--Remote-_,AWS; CI/CD; Java; Machine Learning; Rust; Scala; Typescript,,False,False,False
e718458350b50617,Lead Machine Learning Engineer,INTEROS,"Remote, US",True,2026-01-09,unknown,senior,yearly,200000.0,240000.0,USD,Indeed,https://www.interos.ai/careers/?gnk=job&gni=8a7887a19b137669019ba45ea21d15e5&gns=Indeed+Free,AWS; Databricks; LangGraph; Machine Learning; ML; Python; RAG; Rust; Scala; Snowflake; Vector DB,hr@interos.ai,False,False,False
a89c056047a03790,Data Engineer (L5) - Ads,Netflix,"Remote, US",True,2026-01-09,fulltime,senior,yearly,170000.0,720000.0,USD,Indeed,https://explore.jobs.netflix.net/careers/job/790313551840,Flink; Gdpr; Hadoop; Java; Machine Learning; ML; Python; Rest; Scala; Spark; SQL,,False,False,False
79739bfea93bee89,Sr. Manufacturing Engineer,Symbotic,"Remote, US",True,2026-01-09,internship,intern,yearly,101000.0,138600.0,USD,Indeed,https://symbotic.wd1.myworkdayjobs.com/en-US/Symbotic/job/USA-Remote--Travel/Sr-Manufacturing-Engineer_R6188,Machine Learning; Scala,,False,False,False
293b0edbe05eca21,"Member of Technical Staff, Machine Learning Engineer",Runway AI,"Remote, US",True,2026-01-09,internship,intern,yearly,270000.0,370000.0,USD,Indeed,https://job-boards.greenhouse.io/runwayml/jobs/4647571005,Go; Machine Learning; Pytorch; Rest; Tensorflow,,False,False,False
69f62297976d1d9f,"Infrastructure Software Engineer, Developer Platform",Dropbox,"Remote, US",True,2026-01-09,internship,intern,yearly,163200.0,248400.0,USD,Indeed,https://jobs.dropbox.com/listing/7446067,Go; Java; Python; Rest; Scala,,False,False,False
3b99437cf2935767,Senior Staff DevOps Engineer - MetaMask,ConsenSys,"Remote, US",True,2026-01-09,internship,intern,yearly,160000.0,218000.0,USD,Indeed,https://grnh.se/4x2zabaj1us,AWS; Azure; CI/CD; Java; Javascript; Kubernetes; Prometheus; Python; Rust; Terraform; Typescript,,False,False,False
885a9346d6dc2e05,Infrastructure Engineer II (DevOps Engineer),eduNEXT,"Remote, US",True,2026-01-09,fulltime,entry,unknown,,,,Indeed,http://www.indeed.com/job/infrastructure-engineer-ii-devops-engineer-6d3f7d0fbd2dd630,CI/CD; Docker; Kubernetes; Python; Rest; Scala; Terraform,gabriela.acosta@edunext.co,False,False,False
a6ed2a645730caf1,Sr. Managed Care Contract and Data Analyst,Emerus,"Remote, US",True,2026-01-09,internship,intern,unknown,,,,Indeed,https://careers-emerus.icims.com/jobs/21593/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,Rust; Scala; SQL,,False,False,False
686fc336cab78e19,Data Science Intern,Ascension,"Remote, US",True,2026-01-09,internship,intern,yearly,35360.0,47840.0,USD,Indeed,https://ascensionjobs1-ascension.icims.com/jobs/428836/job?utm_source=indeed_integration&iis=Job%20Board&iisn=Indeed&indeed-apply-token=73a2d2b2a8d6d5c0a62696875eaebd669103652d3f0c2cd5445d3e66b1592b0f,Python; SQL,,False,False,False
90ad28641abff005,Jr. Data Scientist,Osc Global,"Remote, US",True,2026-01-09,internship,intern,unknown,,,,Indeed,https://oscglobal.bamboohr.com/careers/249?source=indeed&src=indeed&postedDate=2026-01-09,Machine Learning; Python; SQL,recruiting@ciri.com,False,True,False
50f998e70679d176,Data Analyst Senior,Progressive,"Remote, US",True,2026-01-09,unknown,senior,yearly,81400.0,108500.0,USD,Indeed,https://careers.progressive.com/en/jobs/17157063-data-analyst-senior?tm_job=257484&tm_event=view&tm_company=90779,Snowflake; SQL,,False,False,False
7837d17c70792d90,"Part-Time Evaluator, Data Analytics",Western Governors University,"Remote, US",True,2026-01-09,internship,intern,yearly,58240.0,87360.0,USD,Indeed,https://wgu.wd5.myworkdayjobs.com/en-US/External/job/United-States---Remote/Part-Time-Evaluator--Data-Analytics_JR-024027,Machine Learning; NLP; Python; Rest,recruiting@wgu.edu,False,False,False
6f15b875146d4e0b,Expert SAR Data Scientist,Geometric AI,"Remote, US",True,2026-01-09,parttime,staff_plus,unknown,,,,Indeed,http://www.indeed.com/job/expert-sar-data-scientist-286c5af7d9cb1219,Machine Learning; Python; Scala,,False,False,False
bac71e1d2b9029ac,Director of Product Design (UX),OpenX,"Remote, US",True,2026-01-10,internship,intern,yearly,204000.0,216000.0,USD,Indeed,https://jobs.lever.co/openx/822a1b54-f6c7-4f6f-8989-c4b9f12ac601?lever-source=Indeed,Rest,,False,False,False
